,TFCA,Cluster,Country,PA,IUCN,Connection,DataOwner,YearStart,YearEnd,Sex_F,Sex_M,Sex_Unknown,TotalElephants
1,Greater Limpopo,Limpopo,Mozambique,Limpopo,II,Connected,CERU,2002,2015,6,2,0,8
2,Greater Limpopo,Limpopo,South Africa,Balule Nature Reserve,IV,Connected,CERU,2012,2015,2,0,0,2
3,Greater Limpopo,Limpopo,South Africa,Klaserie Private Nature Reserve,IV,Connected,CERU,2012,2016,3,0,0,3
4,Greater Limpopo,Limpopo,South Africa,Kruger National Park,II,Connected,CERU,2003,2016,37,2,1,40
5,Greater Limpopo,Limpopo,South Africa,Kruger National Park,II,Connected,Westhuisen,2016,2016,0,1,0,1
6,Greater Limpopo,Limpopo,South Africa,Letaba Ranch Nature Reserve,IV,Connected,CERU,2012,2016,3,0,0,3
7,Greater Limpopo,Limpopo,South Africa,Makuya NR,IV,Connected,CERU,2012,2012,1,0,0,1
8,Greater Limpopo,Limpopo,South Africa,Manyeleti Game Reserve,IV,Connected,CERU,2013,2013,1,0,0,1
9,Greater Limpopo,Limpopo,South Africa,Sabie Sands Private Nature Reserve,IV,Connected,CERU,2012,2015,2,0,1,3
10,Greater Limpopo,Limpopo,South Africa,Timbavati Private Nature Reserve,IV,Connected,CERU,2013,2015,2,0,0,2
11,Greater Limpopo,Limpopo,South Africa,Umbabat Private Nature Reserve,IV,Connected,CERU,2014,2014,1,0,0,1
12,Greater Limpopo,Limpopo,Zimbabwe,Gonarezhou,II,Connected,Westhuisen,2009,2020,5,14,0,19
13,Kavango-Zambezi,Chobe,Angola,Luengue-Luiana National Park,II,Connected,CERU,2006,2010,2,3,0,5
14,Kavango-Zambezi,Chobe,Angola,Luengue-Luiana National Park,II,Connected,EWB,2004,2011,6,7,0,13
15,Kavango-Zambezi,Chobe,Angola,Luengue-Luiana National Park,II,Connected,Rodwell,1993,1994,4,0,0,4
16,Kavango-Zambezi,Chobe,Angola,Mavinga National Park,II,Connected,CERU,2008,2008,0,1,0,1
17,Kavango-Zambezi,Chobe,Botswana,Chobe,Ib,Connected,CERU,2006,2014,10,2,0,12
18,Kavango-Zambezi,Chobe,Botswana,Chobe,Ib,Connected,EWB,2001,2021,18,19,20,57
19,Kavango-Zambezi,Chobe,Botswana,Chobe,Ib,Connected,Rodwell,1993,1995,1,0,0,1
20,Kavango-Zambezi,Chobe,Botswana,Makgadikgadi Pans,Ib,Connected,EWB,2009,2021,0,3,2,5
21,Kavango-Zambezi,Chobe,Botswana,Moremi Game Reserve,Ib,Connected,CERU,2012,2014,2,0,0,2
22,Kavango-Zambezi,Chobe,Botswana,Moremi Game Reserve,Ib,Connected,EWB,1909,2021,7,7,5,19
23,Kavango-Zambezi,Chobe,Botswana,Nxai Pan,Ib,Connected,EWB,2003,2021,1,6,4,11
24,Kavango-Zambezi,Chobe,Namibia,Bwabwata,NA,Connected,CERU,2006,2009,2,5,0,7
25,Kavango-Zambezi,Chobe,Namibia,Bwabwata,NA,Connected,EWB,2003,2021,7,9,1,17
26,Kavango-Zambezi,Chobe,Namibia,Bwabwata,NA,Connected,Rodwell,1993,1995,6,1,0,7
27,Kavango-Zambezi,Chobe,Namibia,Khaudum,II,Connected,CERU,2004,2006,6,0,0,6
28,Kavango-Zambezi,Chobe,Namibia,Khaudum,II,Connected,EWB,2007,2009,0,2,0,2
29,Kavango-Zambezi,Chobe,Namibia,Nkasa Rupara,II,Connected,CERU,2007,2014,2,2,0,4
30,Kavango-Zambezi,Chobe,Namibia,Nkasa Rupara,II,Connected,EWB,2003,2020,2,0,1,3
31,Kavango-Zambezi,Chobe,Namibia,Nkasa Rupara,II,Connected,Rodwell,1993,1994,1,0,0,1
32,Kavango-Zambezi,Chobe,Zambia,Sioma Ngwezi,II,Connected,CERU,2006,2009,1,2,0,3
33,Kavango-Zambezi,Chobe,Zambia,Sioma Ngwezi,II,Connected,EWB,2006,2009,3,3,0,6
34,Kavango-Zambezi,Chobe,Zambia,Sioma Ngwezi,II,Connected,Rodwell,1993,1994,1,0,0,1
35,Kavango-Zambezi,Chobe,Zimbabwe,Hwange,II,Connected,EWB,2004,2021,5,3,3,11
36,Kavango-Zambezi,Chobe,Zimbabwe,Victoria Falls,III,Connected,EWB,2007,2012,1,2,0,3
37,Kavango-Zambezi,Kafue,Zambia,Kafue,II,Connected,CERU,2003,2005,5,5,0,10
38,Lower Zamezi-Mana Pools,Zambezi,Zambia,Lower Zambezi,II,Connected,CERU,2004,2006,6,0,0,6
39,Lower Zamezi-Mana Pools,Zambezi,Zimbabwe,Mana Pools,II,Connected,CERU,2004,2006,5,0,0,5
40,Lubombo,Maputo,Mozambique,Maputo,II,Connected,CERU,2000,2002,2,3,0,5
41,Lubombo,Maputo,South Africa,Tembe Elephant Park,IV,Isolated,CERU,2000,2002,5,3,0,8
42,Malawi-Zambia,Luangwa,Malawi,Kasungu National Park,II,Connected,CERU,2004,2024,26,7,0,33
43,Malawi-Zambia,Luangwa,Zambia,Luambe,II,Connected,CERU,2004,2008,3,0,0,3
44,Malawi-Zambia,Luangwa,Zambia,Lukusuzi,II,Connected,CERU,2022,2023,5,1,0,6
45,Malawi-Zambia,Luangwa,Zambia,North Luangwa,II,Connected,CERU,2004,2008,6,0,0,6
46,Malawi-Zambia,Luangwa,Zambia,South Luangwa,II,Connected,CERU,2004,2010,7,0,0,7
47,NA,Etosha,Namibia,Etosha,II,Connected,CERU,2002,2004,7,3,0,10
